,0.0,1.0,Difference,Percent Difference
Education_Level,5.014239749835248,5.0143021639865,-6.241415125174399e-05,-0.0012447380732800964
Household_Income,42.39294344157438,48.02620607504467,-5.633262633470288,-13.288208310503387
Veteran,0.022813319722441175,0.2788961683541791,-0.2560828486317379,-1122.5146175452599
Age,55.305172569745054,53.80703593408775,1.4981366356573034,2.708854463419333
High_Blood_Pressure,0.3942420757471992,0.42778638078221165,-0.033544305035012434,-8.508555301063838
Blood_Pressure_Meds,0.32029099742857514,0.33054595989676394,-0.0102549624681888,-3.2017641927246663
High_Cholesterol,0.36195066482316607,0.376216001588247,-0.014265336765080905,-3.9412378955154983
Heart_Attack,0.037641008412048226,0.07014492753623189,-0.03250391912418366,-86.35241322009782
Angina/Heart_Disease,0.042822623370246414,0.07051816557474687,-0.027695542204500455,-64.6750246126761
Stroke,0.03599994831306775,0.035640262060750445,0.0003596862523173039,0.99912991315807
Asthma_(ever),0.14976288619829692,0.10418106015485408,0.04558182604344284,30.435995993753217
Asthma_(currently),0.10969905283696649,0.06210839785586659,0.0475906549810999,43.382922413950645
Skin_Cancer,0.08814560208815206,0.10210045662100456,-0.013954854532852501,-15.831594773039981
Cancer_(not skin),0.10672059336598225,0.08037323803851498,0.026347355327467264,24.68816420192958
COPD_emphasema_chronic_bronchitis,0.08163304862448152,0.06465753424657535,0.016975514377906176,20.79490434810892
Arthritis_RA_gout_lupus_fibromyalgia,0.36379201178462056,0.27510819932499503,0.08868381245962553,24.37761401757494
Depression,0.23719133210146146,0.13707365495334525,0.1001176771481162,42.20966940954219
Kidney_Disease,0.03541847032524002,0.0312805241215009,0.004137946203739126,11.683017831490961
Diabetes,0.13339105040768068,0.1470875521143538,-0.013696501706673109,-10.267931517753805
Smoker,0.7666399617516702,0.9061504864006353,-0.13951052464896518,-18.1976588241242
Days_at_least_1_drink_recently,2.89852563025753,4.868540798094104,-1.970015167836574,-67.96611171113021
Binge_Drinking_last_30_days,0.24469885901097055,0.5446654754814374,-0.29996661647046685,-122.5860298993133
Chewing_tobacco,0.010686273242967347,0.10167162993845542,-0.09098535669548807,-851.4227048738968
Any_Excercise,0.7447311633436277,0.7682271193170538,-0.02349595597342613,-3.154958074795216
Strength_Excercise,0.26328677202186357,0.3181417510422871,-0.05485497902042352,-20.834688578987294
Aerobic_Excercise,0.5254428924007288,0.5514552312884654,-0.026012338887736575,-4.950554905955084
Daily_Fruit_Juice,0.3214330201966688,0.38208385944014295,-0.06065083924347414,-18.868888829892125
Daily_Fruits,1.1288436341082067,0.8587030375223347,0.270140596585872,23.93073658950867
Daily_Beans,0.28090885009497474,0.2810271987294024,-0.00011834863442766741,-0.042130617952283796
Daily_Green_Veg,0.629203375156676,0.5113381774865992,0.11786519767007686,18.732448413953215
Daily_Orange_Veg,0.3209920660558994,0.2613890808020647,0.05960298525383473,18.568367120779588
Daily_Other_Veg,0.8645427644755715,0.7417313480246178,0.12281141645095373,14.20536050931508
BMI,27.944687681711873,28.457839110581695,-0.513151428869822,-1.8363111970138388
Has_Health_Coverage,0.9424530618046493,0.9231923764145324,0.019260685390116827,2.0436758254289766
Could_not_afford_to_see_doctor,0.10431715101629431,0.07955529084772682,0.02476186016856749,23.737093974795854
General_Health_Self_Rating,2.48620604995542,2.4680881477069683,0.018117902248451667,0.7287369543958973
Poor_Mental_Health,3.7398725917120004,2.529188008735358,1.2106845829766422,32.37234834308694
Poor_Physical_Health,4.311853105738542,3.513226126662696,0.7986269790758458,18.521664803770154
Kept_from_doing_activities,2.7502616650945226,2.1727615644232676,0.577500100671255,20.99800568072155
Limited_Activities,0.24557753685924355,0.22017867778439548,0.025398859074848068,10.342500946821453
Uses_Special_Equipment,0.10696610629417617,0.09157037919396466,0.015395727100211518,14.393089207033935
Difficulty_Concentrating,0.09620230265283179,0.07302759579114552,0.023174706861686267,24.089555262848066
Difficulty_walking_climbing_stairs,0.1761102999134244,0.1239229700218384,0.05218732989158599,29.633320661676926
Difficulty_Dressing,0.03968910310250811,0.03275759380583681,0.006931509296671301,17.464514828588484
Difficulty_Alone,0.08079313597539702,0.04609092713917014,0.03470220883622688,42.95192706320291
Black_(Non-Hispanic),0.08319011745855354,0.059710144927536235,0.0234799725310173,28.224473348911122
Hispanic,0.03966972050291385,0.04725828866388723,-0.007588568160973384,-19.129371381419194
Multiracial_(Non-Hispanic),0.07732365064802492,0.07598173515981735,0.0013419154882075707,1.7354528361780697
Other_race_only,0.018626678210081536,0.020258090133015685,-0.0016314119229341485,-8.758469462639669
White_(Non-Hispanic),0.7811898331804261,0.7967917411157435,-0.01560190793531735,-1.9971980269889
